Department,Number,Description,coAndPrerequisites
ECE,320,Electronic Devices I,Complete all of the followingComplete 1 of: ECE216 - Electricity and Magnetism (1.5)ELEC216 - Electricity and Magnetism (1.5)PHYS216 - Introductory Electricity and Magnetism (1.5)Complete 1 of: ECE220 - Electrical Properties of Materials (1.5)ELEC220 - Electrical Properties of Materials (1.5)BME320 - Engineering Materials with BME applications (1.5)Complete 1 of: MATH201 - Introduction to Differential Equations (1.5)MATH204 - Calculus IV (1.5)with a minimum GPA of 3.0 over all courses.
ECE,330,Electronic Circuits I,Complete all of the followingComplete 1 of: ECE216 - Electricity and Magnetism (1.5)ELEC216 - Electricity and Magnetism (1.5)PHYS216 - Introductory Electricity and Magnetism (1.5)Complete 1 of: ECE250 - Linear Circuits I (1.5)ELEC250 - Linear Circuits I (1.5)Complete all of: MATH200 - Calculus III (1.5)with a minimum GPA of 3.0 over all courses.
ECE,335,Biosensors and Instrumentation,Complete 1 of: ECE216 - Electricity and Magnetism (1.5)ELEC216 - Electricity and Magnetism (1.5)PHYS216 - Introductory Electricity and Magnetism (1.5)
ECE,340,Applied Electromagnetics and Photonics,Complete 1 of: ECE216 - Electricity and Magnetism (1.5)ELEC216 - Electricity and Magnetism (1.5)PHYS216 - Introductory Electricity and Magnetism (1.5)
ECE,350,Communications Theory and Systems I,Complete all of the followingComplete 1 of: ECE310 - Digital Signal Processing I (1.5)ELEC310 - Digital Signal Processing I (1.5)Complete 1 of: ECE330 - Electronic Circuits I (1.5)ELEC330 - Electronic Circuits I (1.5)
ECE,355,Microprocessor-Based Systems,Complete all of the followingComplete 1 of: ECE241 - Digital Design (1.5)CENG241 - Digital Design (1.5)MATH122 - Logic and Foundations (1.5)Complete 1 of: ECE255 - Introduction to Computer Architecture (1.5)CENG255 - Introduction to Computer Architecture (1.5)CSC230 - Introduction to Computer Architecture (1.5)
ECE,356,Engineering System Software,Complete 1 of: ECE255 - Introduction to Computer Architecture (1.5)CENG255 - Introduction to Computer Architecture (1.5)
ECE,360,Control Theory and Systems I,Complete 1 of: ECE260 - Continuous-Time Signals and Systems (1.5)ELEC260 - Continuous-Time Signals and Systems (1.5)
ECE,365,Applied Electronics and Electrical Machines,Complete all of the followingComplete 1 of: ECE216 - Electricity and Magnetism (1.5)ELEC216 - Electricity and Magnetism (1.5)PHYS216 - Introductory Electricity and Magnetism (1.5)Complete 1 of: ECE250 - Linear Circuits I (1.5)ELEC250 - Linear Circuits I (1.5)
ECE,370,Electromechanical Energy Conversion,Complete all of the followingComplete 1 of: ECE216 - Electricity and Magnetism (1.5)ELEC216 - Electricity and Magnetism (1.5)PHYS216 - Introductory Electricity and Magnetism (1.5)Complete 1 of: ECE250 - Linear Circuits I (1.5)ELEC250 - Linear Circuits I (1.5)
ECE,380,Electronic Circuits II,Complete all of the followingComplete 1 of: ECE300 - Linear Circuits II (1.5)ELEC300 - Linear Circuits II (1.5)Complete 1 of: ECE320 - Electronic Devices I (1.5)ELEC320 - Electronic Devices I (1.5)Complete 1 of: ECE330 - Electronic Circuits I (1.5)ELEC330 - Electronic Circuits I (1.5)
ECE,399,Design Project I,Complete all of the followingComplete 1 of: ECE299 - Introduction to Electrical and Computer Engineering Design (1.5)CENG299 - Introduction to Electrical and Computer Engineering Design (1.5)ELEC200 - Engineering Graphics (1.5)ELEC299 - Introduction to Electrical and Computer Engineering Design (1.5)Complete all of: ENGR001 - Work Term 1 (4.5)minimum third-year standing in the BEng program in Electrical or  Computer Engineeringor permission of the department.
ECE,402,Biomedical Imaging Modalities,Complete all of the followingComplete 1 of: ECE216 - Electricity and Magnetism (1.5)ELEC216 - Electricity and Magnetism (1.5)PHYS216 - Introductory Electricity and Magnetism (1.5)Complete all of: MATH204 - Calculus IV (1.5)
ECE,403,Optimization for Machine Learning,Complete all of: MATH200 - Calculus III (1.5)
ECE,404,Microwaves and Fiber Optics,Complete all of the followingComplete 1 of: ECE300 - Linear Circuits II (1.5)ELEC300 - Linear Circuits II (1.5)Complete 1 of: ECE340 - Applied Electromagnetics and Photonics (1.5)ELEC340 - Applied Electromagnetics and Photonics (1.5)
ECE,405,Error Control Coding,Minimum fourth-year standing in the Faculty of Engineeringor permission of the department.
ECE,407,Digital Signal Processing II,Complete 1 of: ECE310 - Digital Signal Processing I (1.5)ELEC310 - Digital Signal Processing I (1.5)
ECE,410,Power Electronics,Complete all of the followingComplete 1 of: ECE370 - Electromechanical Energy Conversion (1.5)ELEC370 - Electromechanical Energy Conversion (1.5)Complete 1 of: ECE380 - Electronic Circuits II (1.5)ELEC380 - Electronic Circuits II (1.5)
ECE,412,Electronic Devices II,Complete 1 of: ECE320 - Electronic Devices I (1.5)ELEC320 - Electronic Devices I (1.5)
ECE,417,Software Defined Radio,Complete 1 of: ECE350 - Communications Theory and Systems I (1.5)ELEC350 - Communications Theory and Systems I (1.5)
ECE,420,Nanotechnology,Complete 1 of: ECE320 - Electronic Devices I (1.5)ELEC320 - Electronic Devices I (1.5)
ECE,426,Robotics,Complete all of the followingComplete 1 of: ECE360 - Control Theory and Systems I (1.5)ELEC360 - Control Theory and Systems I (1.5)Complete 1 of: ENGR141 - Engineering Mechanics (1.5)MECH245 - Engineering Fundamentals: I (1.5)Complete 1 of: PHYS110 - Introductory Physics I (1.5)PHYS122 - Mechanics for Engineers (1.5)
ECE,427,Photovoltaics,Complete 1 of: ECE320 - Electronic Devices I (1.5)ELEC320 - Electronic Devices I (1.5)
ECE,434,Biophotonics,Complete 1 of: ECE340 - Applied Electromagnetics and Photonics (1.5)ELEC340 - Applied Electromagnetics and Photonics (1.5)
ECE,435,Medical Image Processing,Complete 1 of: ECE310 - Digital Signal Processing I (1.5)ELEC310 - Digital Signal Processing I (1.5)
ECE,440,Human Factors in Engineering,Complete 1 of: STAT254 - Probability and Statistics for Engineers (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)
ECE,441,Design of Digital and VLSI Systems,Complete all of the followingComplete 1 of: ECE241 - Digital Design (1.5)CENG241 - Digital Design (1.5)CENG290 - Digital Design: I (1.5)minimum fourth-year standing in the Faculty of Engineering.
ECE,448,Cyber-System Security,Minimum fourth-year standing in the Faculty of Engineeringor permission of the department.
ECE,449,Computer Systems and Architecture,Complete 1 of: ECE355 - Microprocessor-Based Systems (1.5)CENG355 - Microprocessor-Based Systems (1.5)CSC355 - Digital Logic and Computer Organization (1.5)
ECE,450,Communications Theory and Systems II,Complete 1 of: ECE350 - Communications Theory and Systems I (1.5)ELEC350 - Communications Theory and Systems I (1.5)
ECE,452,Optical Communication Technology,Complete all of the followingComplete 1 of: ECE320 - Electronic Devices I (1.5)ELEC320 - Electronic Devices I (1.5)Complete 1 of: ECE340 - Applied Electromagnetics and Photonics (1.5)ELEC340 - Applied Electromagnetics and Photonics (1.5)
ECE,453,Antennas and Propagation,Complete 1 of: ECE340 - Applied Electromagnetics and Photonics (1.5)ELEC340 - Applied Electromagnetics and Photonics (1.5)
ECE,454,Engineering Components for Wireless Systems,Complete 1 of: ECE404 - Microwaves and Fiber Optics (1.5)ELEC404 - Microwaves and Fiber Optics (1.5)
ECE,455,Real Time Computer Systems Design Project,Complete 1 of: ECE355 - Microprocessor-Based Systems (1.5)CENG355 - Microprocessor-Based Systems (1.5)CSC355 - Digital Logic and Computer Organization (1.5)
ECE,456,Wireless and Mobile Communications,Complete 1 of: ECE350 - Communications Theory and Systems I (1.5)ELEC350 - Communications Theory and Systems I (1.5)
ECE,457,Parallel and Cluster Computing,Minimum fourth-year standing in the Faculty of Engineeringor permission of the department.
ECE,458,Communication Networks,Complete 1 of: ECE255 - Introduction to Computer Architecture (1.5)CENG255 - Introduction to Computer Architecture (1.5)CSC230 - Introduction to Computer Architecture (1.5)
ECE,459,Applications of Digital Signal Processing Techniques,Complete 1 of: ECE310 - Digital Signal Processing I (1.5)ELEC310 - Digital Signal Processing I (1.5)
ECE,460,Control Theory and Systems II,Complete 1 of: ECE360 - Control Theory and Systems I (1.5)ELEC360 - Control Theory and Systems I (1.5)MECH380 - Automatic Control Engineering (1.5)
ECE,461,Dynamics and Control of Switched Mode Power Supplies,Complete all of the followingComplete 1 of: ECE330 - Electronic Circuits I (1.5)ELEC330 - Electronic Circuits I (1.5)Complete 1 of: ECE360 - Control Theory and Systems I (1.5)ELEC360 - Control Theory and Systems I (1.5)
ECE,462,Motor Drive Dynamics,Complete all of the followingComplete 1 of: ECE330 - Electronic Circuits I (1.5)ELEC330 - Electronic Circuits I (1.5)Complete 1 of: ECE360 - Control Theory and Systems I (1.5)ELEC360 - Control Theory and Systems I (1.5)Complete 1 of: ECE370 - Electromechanical Energy Conversion (1.5)ELEC370 - Electromechanical Energy Conversion (1.5)
ECE,463,Design and Analysis of Computer Networks,Complete 1 of: STAT254 - Probability and Statistics for Engineers (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)
ECE,466,System-on-Chip Engineering for Signal Processing,Complete all of the followingComplete 1 of: ECE355 - Microprocessor-Based Systems (1.5)CENG355 - Microprocessor-Based Systems (1.5)CSC355 - Digital Logic and Computer Organization (1.5)MECH405 - Introduction to Microprocessors (1.5)MECH458 - Mechatronics (1.5)Complete 1 of the followingComplete 1 of: ECE310 - Digital Signal Processing I (1.5)ELEC310 - Digital Signal Processing I (1.5)Complete all of: MECH380 - Automatic Control Engineering (1.5)MECH455 - Instrumentation (1.5)
ECE,470,Artificial Intelligence,Minimum fourth-year standing in the Faculty of Engineering.
ECE,471,Computer Vision,Complete 1 of: ECE310 - Digital Signal Processing I (1.5)ELEC310 - Digital Signal Processing I (1.5)
ECE,481,Analog VLSI Systems,Complete all of the followingComplete 1 of: ECE320 - Electronic Devices I (1.5)ELEC320 - Electronic Devices I (1.5)Complete 1 of: ECE380 - Electronic Circuits II (1.5)ELEC380 - Electronic Circuits II (1.5)
ECE,482,Electrical Drive Systems,Complete 1 of: ECE365 - Applied Electronics and Electrical Machines (1.5)ECE370 - Electromechanical Energy Conversion (1.5)ELEC365 - Applied Electronics and Electrical Machines (1.5)ELEC370 - Electromechanical Energy Conversion (1.5)
ECE,483,Digital Video Processing,Complete 1 of: ECE310 - Digital Signal Processing I (1.5)ELEC310 - Digital Signal Processing I (1.5)
ECE,484,Audio Signal Processing,Complete 1 of: ECE310 - Digital Signal Processing I (1.5)ELEC310 - Digital Signal Processing I (1.5)
ECE,485,Data Analysis and Pattern Recognition,Complete 1 of: STAT254 - Probability and Statistics for Engineers (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)
ECE,486,Multiresolution Signal and Geometry Processing With C++,Complete 1 of: ECE310 - Digital Signal Processing I (1.5)ELEC310 - Digital Signal Processing I (1.5)
ECE,488,Electrical Power Systems,Complete 1 of: ECE365 - Applied Electronics and Electrical Machines (1.5)ECE370 - Electromechanical Energy Conversion (1.5)ELEC365 - Applied Electronics and Electrical Machines (1.5)ELEC370 - Electromechanical Energy Conversion (1.5)
ECE,490,Directed Studies,Permission of the department.
ECE,496A,Selected Topics in Electrical and Computer Engineering,Set by department depending upon topic.
ECE,496B,Selected Topics in Electrical and Computer Engineering,Set by department depending upon topic.
ECE,496C,Selected Topics in Electrical and Computer Engineering,Set by department depending upon topic.
ECE,496D,Selected Topics in Electrical and Computer Engineering,Set by department depending upon topic.
ECE,498,Honours Thesis,Complete all of the followingAll required 300-level courses in either the Computer Engineering or Electrical Programminimum GPA of 7.0 over all required 3rd year coursespermission of the department.
ECE,499,Design Project II,Complete all of the followingComplete 1 of: ECE399 - Design Project I (1.5)CENG399 - Design Project I (1.5)BME350 - Biomedical Engineering Design (2.0)ELEC399 - Design Project I (1.5)MECH350 - Engineering Design (1.5)Complete all of: ENGR002 - Work Term 2 (4.5)minimum fourth-year standing.
