Department,Number,Description,coAndPrerequisites
PSYC,405,Core Concepts in Psychology,"Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)Complete 2 of: PSYC330 - Personality (1.5)PSYC335 - Infant and Child Development (1.5)PSYC336 - Adolescent Development (1.5)PSYC338 - Behavioural Interventions with Children and Adults (1.5)PSYC339 - Adult Development and Aging (1.5)PSYC351A - Cognitive Psychology (1.5)PSYC351B - Human Neuropsychology (1.5)PSYC351C - Cognitive Neuroscience (1.5)PSYC351D - Biopsychology (1.5)PSYC365 - Fundamentals of Clinical Psychology (1.5)PSYC366 - Psychological Disorders of Childhood and Adolescence (1.5)PSYC375 - Interpersonal Relationships (1.5)PSYC376 - Social Psychology of Sexuality (1.5)PSYC385 - Motivation, Emotion, and Well-Being (1.5)PSYC386 - Cultural Psychology (1.5)"
PSYC,425,Advanced Environmental Psychology,Complete 1 of: PSYC325 - Environmental Psychology (1.5)PSYC350 - Environmental Psychology (1.5)
PSYC,431B,Social Cognition,"Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)Complete 2 of: PSYC330 - Personality (1.5)PSYC375 - Interpersonal Relationships (1.5)PSYC376 - Social Psychology of Sexuality (1.5)PSYC385 - Motivation, Emotion, and Well-Being (1.5)PSYC386 - Cultural Psychology (1.5)"
PSYC,431G,Self-Regulation and Goals,"Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC385 - Motivation, Emotion, and Well-Being (1.5)Complete 1 of: PSYC320 - Evolutionary Psychology (1.5)PSYC330 - Personality (1.5)PSYC375 - Interpersonal Relationships (1.5)PSYC376 - Social Psychology of Sexuality (1.5)PSYC386 - Cultural Psychology (1.5)"
PSYC,431H,Advanced Interpersonal Relationships,"Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC375 - Interpersonal Relationships (1.5)Complete 1 of: PSYC320 - Evolutionary Psychology (1.5)PSYC330 - Personality (1.5)PSYC376 - Social Psychology of Sexuality (1.5)PSYC385 - Motivation, Emotion, and Well-Being (1.5)PSYC386 - Cultural Psychology (1.5)"
PSYC,431I,Psychology and Law,"Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)Complete 2 of: PSYC320 - Evolutionary Psychology (1.5)PSYC330 - Personality (1.5)PSYC375 - Interpersonal Relationships (1.5)PSYC376 - Social Psychology of Sexuality (1.5)PSYC385 - Motivation, Emotion, and Well-Being (1.5)PSYC386 - Cultural Psychology (1.5)"
PSYC,431J,The Self,"Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)Complete 2 of: PSYC320 - Evolutionary Psychology (1.5)PSYC330 - Personality (1.5)PSYC375 - Interpersonal Relationships (1.5)PSYC376 - Social Psychology of Sexuality (1.5)PSYC385 - Motivation, Emotion, and Well-Being (1.5)PSYC386 - Cultural Psychology (1.5)"
PSYC,435A,Advanced Infant and Child Development,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC335 - Infant and Child Development (1.5)Complete 1 of: PSYC336 - Adolescent Development (1.5)PSYC339 - Adult Development and Aging (1.5)
PSYC,435C,Advanced Adolescent Development,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC336 - Adolescent Development (1.5)Complete 1 of: PSYC335 - Infant and Child Development (1.5)PSYC339 - Adult Development and Aging (1.5)
PSYC,435E,Advanced Adult Development and Aging,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC339 - Adult Development and Aging (1.5)Complete 1 of: PSYC335 - Infant and Child Development (1.5)PSYC336 - Adolescent Development (1.5)
PSYC,442,History and Theories in Lifespan Developmental Psychology,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)Complete 2 of: PSYC335 - Infant and Child Development (1.5)PSYC336 - Adolescent Development (1.5)PSYC339 - Adult Development and Aging (1.5)
PSYC,450,Developmental Disorders and Learning Disabilities,Complete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC338 - Behavioural Interventions with Children and Adults (1.5)PSYC351B - Human Neuropsychology (1.5)
PSYC,451A,Topics in Advanced Cognitive Psychology,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)Complete 1 of the followingComplete all of: PSYC351A - Cognitive Psychology (1.5)Complete 2 of: PSYC351B - Human Neuropsychology (1.5)PSYC351C - Cognitive Neuroscience (1.5)PSYC351D - Biopsychology (1.5)
PSYC,451B,Advanced Neuropsychology,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)Complete 1 of the followingComplete all of: PSYC351B - Human Neuropsychology (1.5)Complete 2 of: PSYC351A - Cognitive Psychology (1.5)PSYC351C - Cognitive Neuroscience (1.5)PSYC351D - Biopsychology (1.5)
PSYC,451C,Topics in Advanced Cognitive Neuroscience,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)Complete 1 of the followingComplete all of: PSYC351C - Cognitive Neuroscience (1.5)Complete 2 of: PSYC351A - Cognitive Psychology (1.5)PSYC351B - Human Neuropsychology (1.5)PSYC351D - Biopsychology (1.5)
PSYC,451D,Advanced Biological Psychology,Complete all of the followingComplete 1 of: PSYC300A - Statistical Methods in Psychology (1.5)STAT255 - Statistics for Life Sciences I (1.5)STAT260 - Introduction to Probability and Statistics I (1.5)Complete 1 of the followingComplete all of: PSYC351D - Biopsychology (1.5)Complete 2 of: PSYC351A - Cognitive Psychology (1.5)PSYC351B - Human Neuropsychology (1.5)PSYC351C - Cognitive Neuroscience (1.5)
PSYC,460,Family Violence across the Lifespan,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC365 - Fundamentals of Clinical Psychology (1.5)Complete 1 of: PSYC330 - Personality (1.5)PSYC338 - Behavioural Interventions with Children and Adults (1.5)PSYC366 - Psychological Disorders of Childhood and Adolescence (1.5)
PSYC,461,Field Placement in Psychology,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC365 - Fundamentals of Clinical Psychology (1.5)Complete 1 of: PSYC338 - Behavioural Interventions with Children and Adults (1.5)PSYC366 - Psychological Disorders of Childhood and Adolescence (1.5)fourth-year standing.
PSYC,462,"Clinical Interventions, Prevention, and Health Promotion",Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC365 - Fundamentals of Clinical Psychology (1.5)Complete 1 of: PSYC338 - Behavioural Interventions with Children and Adults (1.5)PSYC366 - Psychological Disorders of Childhood and Adolescence (1.5)
PSYC,463,Special Topics in Clinical Psychology,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC365 - Fundamentals of Clinical Psychology (1.5)Complete 1 of: PSYC330 - Personality (1.5)PSYC338 - Behavioural Interventions with Children and Adults (1.5)PSYC366 - Psychological Disorders of Childhood and Adolescence (1.5)
PSYC,476,Advanced Psychology of Sexuality,"Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC376 - Social Psychology of Sexuality (1.5)Complete 1 of: PSYC330 - Personality (1.5)PSYC375 - Interpersonal Relationships (1.5)PSYC385 - Motivation, Emotion, and Well-Being (1.5)PSYC386 - Cultural Psychology (1.5)"
PSYC,490,Advanced Independent Study in Psychology,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)PSYC390 - Independent Study in Psychology (1.5 - 3)minimum fourth-year standingpermission of the department.
PSYC,491,Advanced Special Topics in Psychology,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)additional prerequisites set by department depending upon topic.
PSYC,492,Research Seminar in Psychology,Complete all of the followingComplete all of: PSYC300A - Statistical Methods in Psychology (1.5)permission of the department.
PSYC,499,Honours Thesis and Seminar,Declared Honours in Psychology.
